,inventory,demand,backlog,shipment,order
8,206,101,0,16,60
9,322,96,0,217,30
10,286,93,0,60,10
11,253,91,0,60,20
12,192,88,0,30,30
13,114,87,0,10,25
14,47,85,38,20,60
15,30,84,92,30,160
16,25,84,151,25,250
17,60,83,174,60,10
18,160,82,96,160,50
19,29,81,148,29,100
20,64,77,161,64,100
1,160,40,0,40,10
2,160,40,0,40,0
3,160,40,0,40,0
4,130,40,0,10,10
5,90,40,0,0,50
6,50,112,62,0,150
7,10,105,157,10,300
8,50,101,208,50,500
9,144,96,160,144,200
10,0,63,223,0,400
11,29,21,215,29,500
12,140,58,133,140,1000
13,0,87,220,0,1000
14,378,69,0,378,400
15,1031,33,0,942,10
16,2079,84,0,1081,0
17,2314,63,0,319,0
18,3006,82,0,755,0
19,3774,81,0,850,0
20,3693,82,0,0,0
1,160,40,0,40,0
2,160,40,0,40,40
3,160,40,0,40,0
4,120,40,0,0,0
5,120,40,0,40,0
6,80,112,32,0,80
7,0,105,137,0,200
8,0,101,238,0,220
9,80,96,254,80,50
10,118,93,229,118,300
11,0,11,240,0,0
12,74,8,174,74,40
13,77,87,184,77,88
14,76,85,193,76,100
15,465,42,0,465,93
16,377,78,0,147,7
17,399,80,0,100,0
18,412,78,0,93,0
19,341,81,0,7,0
20,265,82,0,5,0
1,160,40,0,40,2
2,160,40,0,40,80
3,160,40,0,40,30
4,122,40,0,2,30
5,162,40,0,80,0
6,152,112,0,30,112
7,70,105,35,30,350
8,0,101,136,0,150
9,112,96,120,112,80
10,108,93,105,108,100
11,0,91,196,0,20
12,151,30,75,151,200
13,30,87,132,30,90
14,205,85,12,205,85
15,406,64,0,406,0
16,455,84,0,125,0
17,486,83,0,115,0
18,403,82,0,0,0
19,321,81,0,0,0
20,240,82,0,0,0
1,160,40,0,40,0
2,160,0,0,40,60
3,200,32,0,40,0
4,168,40,0,0,20
5,188,40,0,60,0
6,148,104,0,0,60
7,64,91,27,20,80
8,0,55,82,0,60
9,60,93,115,60,40
10,60,89,144,60,160
11,0,16,160,0,40
12,27,67,200,27,30
13,111,65,154,111,80
14,22,4,136,22,20
15,76,30,90,76,0
16,96,82,76,96,40
17,38,55,93,38,180
18,80,78,91,80,0
19,40,81,132,40,90
20,121,55,66,121,100
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,0
6,88,104,16,0,80
7,0,91,107,0,100
8,0,55,162,0,100
9,80,93,175,80,100
10,100,17,92,100,40
11,20,8,80,20,0
12,0,87,167,0,40
13,101,85,151,101,100
14,59,44,136,59,63
15,20,3,119,20,12
16,180,82,21,180,25
17,33,82,70,33,100
18,3,22,89,3,59
19,64,81,106,64,40
20,100,81,87,100,95
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,85
4,168,40,0,0,20
5,128,40,0,0,98
6,173,104,0,85,50
7,89,91,2,20,150
8,95,55,0,95,100
9,40,93,53,2,190
10,1,89,141,1,206
11,138,88,91,138,200
12,21,57,127,21,209
13,90,6,43,90,50
14,63,84,64,63,90
15,317,82,0,317,20
16,372,82,0,201,0
17,656,75,0,366,0
18,732,82,0,151,0
19,650,81,0,0,0
20,569,81,0,0,0
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,0
4,208,40,0,40,0
5,168,40,0,0,40
6,128,104,0,0,104
7,24,91,67,0,91
8,40,55,82,40,55
9,104,93,71,104,93
10,16,57,112,16,57
11,0,48,160,0,48
